Country,League,Date,Home_Team,home_team_goal,away_team_goal,Away_Team
France,Ligue 1,05-08-2022,Lyon,2,1,Ajaccio
France,Ligue 1,14-08-2022,Ajaccio,0,0,Lens
France,Ligue 1,21-08-2022,Rennes,2,1,Ajaccio
France,Ligue 1,26-08-2022,Ajaccio,1,3,Lille
France,Ligue 1,31-08-2022,Montpellier,2,0,Ajaccio
France,Ligue 1,04-09-2022,Ajaccio,0,1,Lorient
France,Ligue 1,11-09-2022,Ajaccio,0,1,Nice
France,Ligue 1,18-09-2022,Brest,0,1,Ajaccio
France,Ligue 1,02-10-2022,Ajaccio,1,3,Clermont
France,Ligue 1,08-10-2022,Marseille,1,2,Ajaccio
France,Ligue 1,16-10-2022,Troyes,1,1,Ajaccio
France,Ligue 1,21-10-2022,Ajaccio,0,3,Paris SG
France,Ligue 1,30-10-2022,Auxerre,1,0,Ajaccio
France,Ligue 1,05-11-2022,Ajaccio,4,2,Strasbourg
France,Ligue 1,13-11-2022,Nantes,2,2,Ajaccio
France,Ligue 1,28-12-2022,Ajaccio,1,0,Angers
France,Ligue 1,01-01-2023,Toulouse,2,0,Ajaccio
France,Ligue 1,11-01-2023,Ajaccio,0,1,Reims
France,Ligue 1,15-01-2023,Monaco,7,1,Ajaccio
France,Ligue 1,29-01-2023,Ajaccio,0,2,Lyon
France,Ligue 1,01-02-2023,Angers,1,2,Ajaccio
France,Ligue 1,05-02-2023,Ajaccio,0,2,Nantes
France,Ligue 1,10-02-2023,Nice,3,0,Ajaccio
France,Ligue 1,19-02-2023,Lorient,3,0,Ajaccio
France,Ligue 1,26-02-2023,Ajaccio,2,1,Troyes
France,Ligue 1,05-03-2023,Reims,1,0,Ajaccio
France,Ligue 1,12-03-2023,Ajaccio,0,1,Montpellier
France,Ligue 1,19-03-2023,Ajaccio,0,2,Monaco
France,Ligue 1,02-04-2023,Clermont,2,1,Ajaccio
France,Ligue 1,09-04-2023,Ajaccio,0,3,Auxerre
France,Ligue 1,16-04-2023,Strasbourg,3,1,Ajaccio
France,Ligue 1,23-04-2023,Ajaccio,0,0,Brest
France,Ligue 1,29-04-2023,Lille,3,0,Ajaccio
France,Ligue 1,07-05-2023,Ajaccio,0,0,Toulouse
France,Ligue 1,13-05-2023,Paris SG,5,0,Ajaccio
France,Ligue 1,21-05-2023,Ajaccio,0,5,Rennes
France,Ligue 1,07-08-2022,Angers,0,0,Nantes
France,Ligue 1,14-08-2022,Auxerre,2,2,Angers
France,Ligue 1,21-08-2022,Angers,1,3,Brest
France,Ligue 1,28-08-2022,Troyes,3,1,Angers
France,Ligue 1,31-08-2022,Angers,2,4,Reims
France,Ligue 1,03-09-2022,Lyon,5,0,Angers
France,Ligue 1,11-09-2022,Angers,2,1,Montpellier
France,Ligue 1,18-09-2022,Nice,0,1,Angers
France,Ligue 1,30-09-2022,Angers,0,3,Marseille
France,Ligue 1,09-10-2022,Angers,2,3,Strasbourg
France,Ligue 1,16-10-2022,Toulouse,3,2,Angers
France,Ligue 1,23-10-2022,Angers,1,2,Rennes
France,Ligue 1,30-10-2022,Monaco,2,0,Angers
France,Ligue 1,05-11-2022,Angers,1,2,Lens
